name,type,isin,distribution_policy,yahoo_ticker,yahoo_exchange,yahoo_source_url,ordinary_tax_principle,ordinary_income_type,ask_eligible,tax_basis,tax_source_url,classification_as_of
Sparindex INDEX EM Bonds Lok.val Akk A,Investeringsforeninger,DK0060254126,Akkumulerende,SPVIEMBLAKKKLA.CO,CPH,https://finance.yahoo.com/quote/SPVIEMBLAKKKLA.CO/,lager,kapitalindkomst,no,VP 2026: 8/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX EM Bonds Lokalvaluta,Investeringsforeninger,DK0060254043,Distribuerende,SPVIEMMBLV.CO,CPH,https://finance.yahoo.com/quote/SPVIEMMBLV.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX EM Market Bonds Akk KL A,Investeringsforeninger,DK0062729596,Akkumulerende,SPVIEMMBAKKKLA.CO,CPH,https://finance.yahoo.com/quote/SPVIEMMBAKKKLA.CO/,lager,kapitalindkomst,no,VP 2026: 8/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Emerging Market Bonds,Investeringsforeninger,DK0062729406,Distribuerende,SPVIEMMB.CO,CPH,https://finance.yahoo.com/quote/SPVIEMMB.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Emerging Markets KL,Investeringsforeninger,DK0060300762,Distribuerende,SPIEMIKL.CO,CPH,https://finance.yahoo.com/quote/SPIEMIKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Europa Forsvar KL,Investeringsforeninger,DK0063855598,Distribuerende,SPIIEF.CO,CPH,https://finance.yahoo.com/quote/SPIIEF.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Europa Growth KL,Investeringsforeninger,DK0010297548,Distribuerende,SPIEUGKL.CO,CPH,https://finance.yahoo.com/quote/SPIEUGKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Europa Small Cap KL,Investeringsforeninger,DK0010297621,Distribuerende,SPIEUCKL.CO,CPH,https://finance.yahoo.com/quote/SPIEUCKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Europa Value KL,Investeringsforeninger,DK0010297704,Distribuerende,SPIEUVKL.CO,CPH,https://finance.yahoo.com/quote/SPIEUVKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Glob Akt Min. Ris Akk KL,Investeringsforeninger,DK0060748127,Akkumulerende,SPVIGAMRAKL.CO,CPH,https://finance.yahoo.com/quote/SPVIGAMRAKL.CO/,lager,kapitalindkomst,no,VP 2026: 8/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Globale Akt Min Risk KL,Investeringsforeninger,DK0060031847,Distribuerende,SPIGLAMRIKL.CO,CPH,https://finance.yahoo.com/quote/SPIGLAMRIKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Globale Aktier KL,Investeringsforeninger,DK0060747822,Distribuerende,SPVIGAKL.CO,CPH,https://finance.yahoo.com/quote/SPVIGAKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Høj Risiko KL,Investeringsforeninger,DK0060748713,Distribuerende,SPVIHRKL.CO,CPH,https://finance.yahoo.com/quote/SPVIHRKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Lav Risiko KL,Investeringsforeninger,DK0060748556,Distribuerende,SPVILRKL.CO,CPH,https://finance.yahoo.com/quote/SPVILRKL.CO/,realisations,kapitalindkomst,no,VP 2026: 1/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sparindex INDEX Mellem Risiko KL,Investeringsforeninger,DK0060748630,Distribuerende,SPVIMRKL.CO,CPH,https://finance.yahoo.com/quote/SPVIMRKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
