name,type,isin,distribution_policy,yahoo_ticker,yahoo_exchange,yahoo_source_url,ordinary_tax_principle,ordinary_income_type,ask_eligible,tax_basis,tax_source_url,classification_as_of
Amundi Core MSCI Europe UCITS ETF Acc,ETF,LU1437015735,Akkumulerende,CEU2.L,LSE,https://finance.yahoo.com/quote/CEU2.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Core STOXX Europe 600 UCITS ETF Acc,ETF,LU0908500753,Akkumulerende,MEUD.PA,PAR,https://finance.yahoo.com/quote/MEUD.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi DAX III UCITS ETF Acc,ETF,LU0252633754,Akkumulerende,LYY7.DE,GER,https://finance.yahoo.com/quote/LYY7.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi EURO STOXX 50 UCITS ETF DR - EUR (C),ETF,LU1681047236,Akkumulerende,C50.PA,PAR,https://finance.yahoo.com/quote/C50.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Euro Stoxx Banks UCITS ETF Acc,ETF,LU1829219390,Akkumulerende,BNKE.PA,PAR,https://finance.yahoo.com/quote/BNKE.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Global Bioenergy UCITS ETF EUR Acc,ETF,LU1681046006,Akkumulerende,CWE.PA,PAR,https://finance.yahoo.com/quote/CWE.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Global Equity Quality Income UCITS ETF Dist,ETF,LU0832436512,Distribuerende,SGQI.PA,PAR,https://finance.yahoo.com/quote/SGQI.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Global Gender Equality UCITS ETF Acc,ETF,LU1691909508,Akkumulerende,ELLE.L,LSE,https://finance.yahoo.com/quote/ELLE.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Global Memory Chips UCITS ETF Acc,ETF,LU2023678282,Akkumulerende,UNIC.L,LSE,https://finance.yahoo.com/quote/UNIC.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Japan Topix II Ucits ETF,ETF,FR0010245514,Distribuerende,JPN.PA,PAR,https://finance.yahoo.com/quote/JPN.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Japan TOPIX II UCITS ETF EUR Hedged Dist,ETF,FR0011475078,Distribuerende,JPNH.PA,PAR,https://finance.yahoo.com/quote/JPNH.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MDAX UCITS ETF Dist,ETF,FR0011857234,Akkumulerende,MD4X.DE,GER,https://finance.yahoo.com/quote/MD4X.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI AC Asia Ex Japan UCITS ETF Acc,ETF,LU1900068161,Akkumulerende,APX.PA,PAR,https://finance.yahoo.com/quote/APX.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI All Country World UCITS ETF EUR Acc,ETF,LU1829220216,Akkumulerende,ACWI.PA,PAR,https://finance.yahoo.com/quote/ACWI.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Brazil UCITS ETF Acc,ETF,LU1900066207,Akkumulerende,RIO.PA,PAR,https://finance.yahoo.com/quote/RIO.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI China A UCITS ETF Acc,ETF,FR0011720911,Akkumulerende,CNAL.L,LSE,https://finance.yahoo.com/quote/CNAL.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI China ESG Leaders Extra UCITS ETF Acc,ETF,LU1900068914,Akkumulerende,ASI.PA,PAR,https://finance.yahoo.com/quote/ASI.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI China ESG Leaders Extra UCITS ETF Dist,ETF,LU1900067940,Distribuerende,LHKG.DE,GER,https://finance.yahoo.com/quote/LHKG.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI China UCITS ETF Acc,ETF,LU1841731745,Akkumulerende,LCCN.L,LSE,https://finance.yahoo.com/quote/LCCN.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Digital Economy and Metaverse ESG Screened UCITS ETF Acc,ETF,LU2023678878,Akkumulerende,DIGE.L,LSE,https://finance.yahoo.com/quote/DIGE.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI EM Asia ESG Broad Transition UCITS ETF Acc,ETF,LU1781541849,Akkumulerende,LCAS.L,LSE,https://finance.yahoo.com/quote/LCAS.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Em Asia UCITS ETF - EUR (C),ETF,LU1681044480,Akkumulerende,AASI.PA,PAR,https://finance.yahoo.com/quote/AASI.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI EM Latin America UCITS ETF - EUR (C),ETF,LU1681045024,Akkumulerende,ALAT.PA,PAR,https://finance.yahoo.com/quote/ALAT.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Emerging Ex China UCITS ETF Acc,ETF,LU2009202107,Akkumulerende,EMXC.L,LSE,https://finance.yahoo.com/quote/EMXC.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Emerging Markets III UCITS ETF EUR Acc,ETF,FR0010429068,Akkumulerende,LEM.PA,PAR,https://finance.yahoo.com/quote/LEM.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Emerging Markets SRI Climate Paris Aligned UCITS ETF DR (C),ETF,LU1861138961,Akkumulerende,MSRU.L,LSE,https://finance.yahoo.com/quote/MSRU.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Emerging Markets UCITS ETF - EUR (C),ETF,LU1681045370,Akkumulerende,AEEM.PA,PAR,https://finance.yahoo.com/quote/AEEM.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI EMU ESG Broad Transition UCITS ETF ACC,ETF,LU0908501058,Akkumulerende,LGQG.DE,GER,https://finance.yahoo.com/quote/LGQG.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI EMU Small Cap ESG CTB Net Zero Ambition - UCITS ETF Dist,ETF,LU1598689153,Distribuerende,MMS.MI,MIL,https://finance.yahoo.com/quote/MMS.MI/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI EMU UCITS ETF Dist,ETF,LU1646360971,Distribuerende,MFE.PA,PAR,https://finance.yahoo.com/quote/MFE.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI EMU Value Factor UCITS ETF Dist,ETF,LU1598690169,Distribuerende,VAL.MI,MIL,https://finance.yahoo.com/quote/VAL.MI/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Europe Climate Paris Aligned UCITS ETF Acc,ETF,LU2130768844,Akkumulerende,LWCE.PA,PAR,https://finance.yahoo.com/quote/LWCE.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Europe ESG Leaders UCITS ETF Acc,ETF,LU1940199711,Akkumulerende,ESGE.PA,PAR,https://finance.yahoo.com/quote/ESGE.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Europe II UCITS ETF Acc,ETF,FR0010261198,Akkumulerende,MEU.PA,PAR,https://finance.yahoo.com/quote/MEU.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Europe SRI Climate Paris Aligned UCITS ETF DR (C),ETF,LU1861137484,Akkumulerende,EUSRI.PA,PAR,https://finance.yahoo.com/quote/EUSRI.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Future Mobility ESG Screened UCITS ETF Acc,ETF,LU2023679090,Akkumulerende,MOBI.L,LSE,https://finance.yahoo.com/quote/MOBI.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Greece UCITS ETF Dist,ETF,FR0010405431,Distribuerende,GRE.PA,PAR,https://finance.yahoo.com/quote/GRE.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI India II UCITS ETF EUR Acc,ETF,FR0010361683,Akkumulerende,INR.PA,PAR,https://finance.yahoo.com/quote/INR.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Japan SRI Climate Paris Aligned UCITS ETF DR (C),ETF,LU2233156749,Akkumulerende,JPXY.AS,AMS,https://finance.yahoo.com/quote/JPXY.AS/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Japan UCITS ETF Acc,ETF,LU1781541252,Akkumulerende,LCJP.AS,AMS,https://finance.yahoo.com/quote/LCJP.AS/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Japan UCITS ETF EUR Hedged Dist,ETF,LU2133056387,Distribuerende,JNHD.DE,GER,https://finance.yahoo.com/quote/JNHD.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Korea UCITS ETF Acc,ETF,LU1900066975,Akkumulerende,KRW.PA,PAR,https://finance.yahoo.com/quote/KRW.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Millennials ESG Screened UCITS ETF - Acc,ETF,LU2023678449,Akkumulerende,GENY.L,LSE,https://finance.yahoo.com/quote/GENY.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Robotics & AI UCITS ETF Acc,ETF,LU1861132840,Akkumulerende,GOAI.PA,PAR,https://finance.yahoo.com/quote/GOAI.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI Turkey UCITS ETF Acc,ETF,LU1900067601,Akkumulerende,TUR.PA,PAR,https://finance.yahoo.com/quote/TUR.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI USA ESG Broad Transition UCITS ETF Dist,ETF,IE000QQ8Z0D8,Distribuerende,LYYB.DE,GER,https://finance.yahoo.com/quote/LYYB.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI USA ESG Leaders Extra UCITS ETF DR – USD (D),ETF,IE0008TKP6O7,Distribuerende,LESA.DE,GER,https://finance.yahoo.com/quote/LESA.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI USA ESG Leaders UCITS ETF Acc,ETF,IE000PEAJOT0,Akkumulerende,SADU.PA,PAR,https://finance.yahoo.com/quote/SADU.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI USA SRI Climate Paris Aligned UCITS ETF Acc,ETF,IE000R85HL30,Akkumulerende,WEBD.DE,GER,https://finance.yahoo.com/quote/WEBD.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI USA UCITS ETF Acc,ETF,IE000FSN19U2,Akkumulerende,WEBL.DE,GER,https://finance.yahoo.com/quote/WEBL.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI World Climate Paris Aligned UCITS ETF - Acc,ETF,IE000CL68Z69,Akkumulerende,PABX.DE,GER,https://finance.yahoo.com/quote/PABX.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI World ESG Broad Transition UCITS ETF Acc,ETF,IE0001GSQ2O9,Akkumulerende,LWCR.DE,GER,https://finance.yahoo.com/quote/LWCR.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI World ESG Leaders UCITS ETF Acc,ETF,IE00016PSX47,Akkumulerende,MWOR.DE,GER,https://finance.yahoo.com/quote/MWOR.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI World Health Care UCITS ETF EUR Acc,ETF,LU0533033238,Akkumulerende,HLTW.MI,MIL,https://finance.yahoo.com/quote/HLTW.MI/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI World II UCITS ETF Dist,ETF,FR0010315770,Akkumulerende,WLD.PA,PAR,https://finance.yahoo.com/quote/WLD.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi MSCI World Information Technology UCITS ETF EUR Acc,ETF,LU0533033667,Akkumulerende,TNOW.MI,MIL,https://finance.yahoo.com/quote/TNOW.MI/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Nasdaq-100 Daily (-1x) Inverse UCITS ETF Acc,ETF,LU1327051279,Akkumulerende,DSP5.PA,PAR,https://finance.yahoo.com/quote/DSP5.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Nasdaq-100 II UCITS ETF Acc,ETF,LU1829221024,Akkumulerende,UST.PA,PAR,https://finance.yahoo.com/quote/UST.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi NYSE Arca Gold BUGS UCITS ETF Dist,ETF,LU2611731824,Distribuerende,GLDU.AS,AMS,https://finance.yahoo.com/quote/GLDU.AS/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Prime Europe UCITS ETF DR (C),ETF,LU2089238039,Akkumulerende,PRAE.DE,GER,https://finance.yahoo.com/quote/PRAE.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Prime Eurozone UCITS ETF DR (C),ETF,LU2089238112,Akkumulerende,PRAZ.DE,GER,https://finance.yahoo.com/quote/PRAZ.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Prime Japan UCITS ETF DR (C),ETF,LU2089238385,Akkumulerende,PRAJ.DE,GER,https://finance.yahoo.com/quote/PRAJ.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P 500 Climate Paris Aligned UCITS ETF Acc,ETF,IE000O5FBC47,Akkumulerende,CLMT.L,LSE,https://finance.yahoo.com/quote/CLMT.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P 500 II UCITS ETF EUR Dist,ETF,LU0496786574,Distribuerende,LYPS.DE,GER,https://finance.yahoo.com/quote/LYPS.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P 500 II UCITS ETF EUR Hedged Dist,ETF,LU0959211243,Distribuerende,SPXH.MI,MIL,https://finance.yahoo.com/quote/SPXH.MI/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P 500 Screened UCITS ETF - Acc,ETF,IE000KXCEXR3,Akkumulerende,S500.PA,PAR,https://finance.yahoo.com/quote/S500.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P Eurozone PAB Net Zero Ambition UCITS ETF Acc,ETF,LU2195226068,Akkumulerende,EPAB.PA,PAR,https://finance.yahoo.com/quote/EPAB.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P World Communication Services Screened UCITS ETF Acc,ETF,IE000EFHIFG3,Akkumulerende,WELX.DE,GER,https://finance.yahoo.com/quote/WELX.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P World Consumer Discretionary Screened UCITS ETF Acc,ETF,IE000NM0ALX6,Akkumulerende,WELJ.DE,GER,https://finance.yahoo.com/quote/WELJ.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P World Consumer Staples Screened UCITS ETF Acc,ETF,IE000ZIJ5B20,Akkumulerende,WELW.DE,GER,https://finance.yahoo.com/quote/WELW.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P World Energy Screened UCITS ETF Acc,ETF,IE000J0LN0R5,Akkumulerende,WELN.DE,GER,https://finance.yahoo.com/quote/WELN.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P World Industrials Screened UCITS ETF Acc,ETF,IE000LTA2082,Akkumulerende,WELH.DE,GER,https://finance.yahoo.com/quote/WELH.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P World Materials Screened UCITS ETF Acc,ETF,IE000FCGBU62,Akkumulerende,WELI.DE,GER,https://finance.yahoo.com/quote/WELI.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi S&P World Utilities Screened UCITS ETF Acc,ETF,IE000PMX0MW6,Akkumulerende,WELD.DE,GER,https://finance.yahoo.com/quote/WELD.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi STOXX Europe 600 Banks UCITS ETF Acc,ETF,LU1834983477,Akkumulerende,BNK.PA,PAR,https://finance.yahoo.com/quote/BNK.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi STOXX Europe 600 Basic Resources UCITS ETF - Acc,ETF,LU1834983550,Akkumulerende,BRES.PA,PAR,https://finance.yahoo.com/quote/BRES.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi STOXX Europe 600 Consumer Staples UCITS ETF Acc,ETF,LU1834985845,Akkumulerende,LFOD.DE,GER,https://finance.yahoo.com/quote/LFOD.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi STOXX Europe 600 Energy ESG Screened UCITS ETF Acc,ETF,LU1834988278,Akkumulerende,ENRG.PA,PAR,https://finance.yahoo.com/quote/ENRG.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi STOXX Europe 600 Healthcare UCITS ETF - Acc,ETF,LU1834986900,Akkumulerende,HLT.PA,PAR,https://finance.yahoo.com/quote/HLT.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi STOXX Europe 600 Technology UCITS ETF Acc,ETF,LU1834988518,Akkumulerende,TNO.MI,MIL,https://finance.yahoo.com/quote/TNO.MI/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi STOXX Europe 600 Telecommunications UCITS ETF - Acc,ETF,LU1834988609,Akkumulerende,TELE.PA,PAR,https://finance.yahoo.com/quote/TELE.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi Stoxx Europe 600 UCITS ETF EUR Hedged Dist,ETF,LU1574142243,Distribuerende,STXH.DE,GER,https://finance.yahoo.com/quote/STXH.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi STOXX Europe 600 Utilities UCITS ETF Acc,ETF,LU1834988864,Akkumulerende,UTI.MI,MIL,https://finance.yahoo.com/quote/UTI.MI/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi STOXX Europe Defense UCITS ETF Acc,ETF,LU3038520774,Akkumulerende,DEFS.PA,PAR,https://finance.yahoo.com/quote/DEFS.PA/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi UK Equity All Cap UCITS ETF Dist,ETF,LU1781541096,Distribuerende,LCUK.L,LSE,https://finance.yahoo.com/quote/LCUK.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Amundi US Tech 100 Equal Weight UCITS ETF DR - USD,ETF,IE000Y9MG996,Distribuerende,WEBA.DE,GER,https://finance.yahoo.com/quote/WEBA.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Boreas S&P Absolute Luxury UCITS ETF – USD (Acc),ETF,IE000LVB7GJ9,Akkumulerende,LUXX.DE,GER,https://finance.yahoo.com/quote/LUXX.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Defiance Memory UCITS ETF - Accumulating,ETF,IE000CEUZ052,Akkumulerende,DRAM.L,LSE,https://finance.yahoo.com/quote/DRAM.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Fidelity Europe Equity Research Enhanced UCITS ETF - Acc,ETF,IE00BKSBGT50,Akkumulerende,FEUR.DE,GER,https://finance.yahoo.com/quote/FEUR.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Fidelity Europe Quality Income UCITS ETF ACC-EUR,ETF,IE00BYSX4283,Akkumulerende,FEUQ.DE,GER,https://finance.yahoo.com/quote/FEUQ.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Fidelity Europe Quality Income UCITS ETF INC-EUR,ETF,IE00BYSX4176,Distribuerende,FEUI.DE,GER,https://finance.yahoo.com/quote/FEUI.DE/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
Fidelity Global Equity Research Enhanced UCITS ETF - Acc,ETF,IE00BKSBGV72,Akkumulerende,FGLR.L,LSE,https://finance.yahoo.com/quote/FGLR.L/,lager,aktieindkomst,yes,ABIS 2026,https://skat.dk/media/euzdrcqh/august-2026-abis-liste-2021-2026.xlsx,2026-08-28
